,Sample ID,comments 1,comments 2,Population,Group_Population,Region,State / Province / City,Country of origin / collected in,Sampling Location (Cambridgesamples),Continent,Language,Latitude,Longitude,source,chip,wikidata,uncertaintu
1231,tdj409_shugnan,,,Pamiris,Tajiks,Pamir Shugnan,Shugnan,Tajikistan,,Central Asia,Indo-European/Indo-Iranian,37.544577,72.421875,Yunusbayev et al 2015,1M,,
1232,tdj412_shugnan,,,Pamiris,Tajiks,Pamir Shugnan,Shugnan,Tajikistan,,Central Asia,Indo-European/Indo-Iranian,37.544577,72.421875,Yunusbayev et al 2015,1M,,
1233,tdj430_shugnan,,,Pamiris,Tajiks,Pamir Shugnan,Shugnan,Tajikistan,,Central Asia,Indo-European/Indo-Iranian,37.544577,72.421875,Yunusbayev et al 2015,1M,,
1234,tdj979_shugnan,,,Pamiris,Tajiks,Pamir Shugnan,Shugnan,Tajikistan,,Central Asia,Indo-European/Indo-Iranian,37.544577,72.421875,Yunusbayev et al 2015,1M,,
1235,TJ250_shugnan,,,Pamiris,Tajiks,Pamir Shugnan,Shugnan,Tajikistan,,Central Asia,Indo-European/Indo-Iranian,37.544577,72.421875,Yunusbayev et al 2015,1M,,
1236,TJ086_tadjik_pl,,,Tajiks,Tajiks,plain,,Tajikistan,,Central Asia,Indo-European/Indo-Iranian,,,Yunusbayev et al 2015,1M,,
1237,TJ096_tadjik_pl,,,Tajiks,Tajiks,plain,,Tajikistan,,Central Asia,Indo-European/Indo-Iranian,,,Yunusbayev et al 2015,1M,,
1238,TJ1110_tadjik_yag,,,Tajiks,Tajiks,plain,,Tajikistan,,Central Asia,Indo-European/Indo-Iranian,,,Yunusbayev et al 2015,1M,,
1239,TJ354_tadjik_pl,,,Tajiks,Tajiks,plain,,Tajikistan,,Central Asia,Indo-European/Indo-Iranian,,,Yunusbayev et al 2015,1M,,
1240,TJ364_tadjik_pl,,,Tajiks,Tajiks,plain,,Tajikistan,,Central Asia,Indo-European/Indo-Iranian,,,Yunusbayev et al 2015,1M,,
1241,TJ0197_tadjik_yag,,,Yaghnobi,Tajiks,plain West Tajikistan,,Tajikistan,,Central Asia,Indo-European/Indo-Iranian,39.495563,67.631836,Yunusbayev et al 2015,1M,,
1242,TJ1095_tadjik_yag,,,Yaghnobi,Tajiks,plain West Tajikistan,,Tajikistan,,Central Asia,Indo-European/Indo-Iranian,39.495563,67.631836,Yunusbayev et al 2015,1M,,
1243,TJ1101_tadjik_yag,,,Yaghnobi,Tajiks,plain West Tajikistan,,Tajikistan,,Central Asia,Indo-European/Indo-Iranian,39.495563,67.631836,Yunusbayev et al 2015,1M,,
1244,TJ1102_yagnobi,,,Yaghnobi,Tajiks,plain West Tajikistan,,Tajikistan,,Central Asia,Indo-European/Indo-Iranian,39.495563,67.631836,Yunusbayev et al 2015,1M,,
1245,TJ1176_tadjik_yag,,,Yaghnobi,Tajiks,plain West Tajikistan,,Tajikistan,,Central Asia,Indo-European/Indo-Iranian,39.495563,67.631836,Yunusbayev et al 2015,1M,,
1246,Tadjik1_6Af,,,Tajiks,Tajiks_Afghan,,,Afghanisthan,,Central Asia,Indo-European/Indo-Iranian,,,DiCristofaro et al 2013 Afghan,660k,,
1247,Tadjik1_18Af,,,Tajiks,Tajiks_Afghan,,,Afghanisthan,,Central Asia,Indo-European/Indo-Iranian,,,DiCristofaro et al 2013 Afghan,660k,,
1248,Tadjik1_44Af,,,Tajiks,Tajiks_Afghan,,,Afghanisthan,,Central Asia,Indo-European/Indo-Iranian,,,DiCristofaro et al 2013 Afghan,660k,,
1249,Tadjik10_16Af,,,Tajiks,Tajiks_Afghan,,,Afghanisthan,,Central Asia,Indo-European/Indo-Iranian,,,DiCristofaro et al 2013 Afghan,660k,,
1250,Tadjik1_39Af,,,Tajiks,Tajiks_Afghan,,,Afghanisthan,,Central Asia,Indo-European/Indo-Iranian,,,DiCristofaro et al 2013 Afghan,660k,,
1251,KKA001_karakalpak,,,Karakalpak,Karakalpak,,,Uzbekistan,,Central Asia,Turkic,,,Yunusbayev et al 2015,1M,,
1252,KKA044_karakalpak,,,Karakalpak,Karakalpak,,,Uzbekistan,,Central Asia,Turkic,,,Yunusbayev et al 2015,1M,,
1253,KKA048_karakalpak,,,Karakalpak,Karakalpak,,,Uzbekistan,,Central Asia,Turkic,,,Yunusbayev et al 2015,1M,,
1254,KKA051_karakalpak,,,Karakalpak,Karakalpak,,,Uzbekistan,,Central Asia,Turkic,,,Yunusbayev et al 2015,1M,,
1255,KKA052_karakalpak,,,Karakalpak,Karakalpak,,,Uzbekistan,,Central Asia,Turkic,,,Yunusbayev et al 2015,1M,,
1256,KKA055_karakalpak,,,Karakalpak,Karakalpak,,,Uzbekistan,,Central Asia,Turkic,,,Yunusbayev et al 2015,1M,,
1257,KKA066_karakalpak,,,Karakalpak,Karakalpak,,,Uzbekistan,,Central Asia,Turkic,,,Yunusbayev et al 2015,1M,,
1258,KKA073_karakalpak,,,Karakalpak,Karakalpak,,,Uzbekistan,,Central Asia,Turkic,,,Yunusbayev et al 2015,1M,,
1259,KKA076_karakalpak,,,Karakalpak,Karakalpak,,,Uzbekistan,,Central Asia,Turkic,,,Yunusbayev et al 2015,1M,,
1260,KKA080_karakalpak,,,Karakalpak,Karakalpak,,,Uzbekistan,,Central Asia,Turkic,,,Yunusbayev et al 2015,1M,,
1261,usb1,,,Uzbeks,Uzbeks,,,Uzbekistan,,Central Asia,Turkic,,,Behar et al 2010,610k,,
1262,usb13,,,Uzbeks,Uzbeks,,,Uzbekistan,,Central Asia,Turkic,,,Behar et al 2010,610k,,
1263,usb16,,,Uzbeks,Uzbeks,,,Uzbekistan,,Central Asia,Turkic,,,Behar et al 2010,610k,,
1264,usb2,,,Uzbeks,Uzbeks,,,Uzbekistan,,Central Asia,Turkic,,,Behar et al 2010,610k,,
1265,usb24,,,Uzbeks,Uzbeks,,,Uzbekistan,,Central Asia,Turkic,,,Behar et al 2010,610k,,
1266,usb25,,,Uzbeks,Uzbeks,,,Uzbekistan,,Central Asia,Turkic,,,Behar et al 2010,610k,,
1267,usb32,,,Uzbeks,Uzbeks,,,Uzbekistan,,Central Asia,Turkic,,,Behar et al 2010,610k,,
1268,usb35,,,Uzbeks,Uzbeks,,,Uzbekistan,,Central Asia,Turkic,,,Behar et al 2010,610k,,
1269,usb40,,,Uzbeks,Uzbeks,,,Uzbekistan,,Central Asia,Turkic,,,Behar et al 2010,610k,,
1270,usb6,,,Uzbeks,Uzbeks,,,Uzbekistan,,Central Asia,Turkic,,,Behar et al 2010,610k,,
1271,usb64,,,Uzbeks,Uzbeks,,,Uzbekistan,,Central Asia,Turkic,,,Behar et al 2010,610k,,
1272,usb72,,,Uzbeks,Uzbeks,,,Uzbekistan,,Central Asia,Turkic,,,Behar et al 2010,610k,,
1273,usb78,,,Uzbeks,Uzbeks,,,Uzbekistan,,Central Asia,Turkic,,,Behar et al 2010,610k,,
1274,usb8,,,Uzbeks,Uzbeks,,,Uzbekistan,,Central Asia,Turkic,,,Behar et al 2010,610k,,
1275,usb83,,,Uzbeks,Uzbeks,,,Uzbekistan,,Central Asia,Turkic,,,Behar et al 2010,610k,,
1276,uzbek80,,,Uzbeks,Uzbeks,,,Uzbekistan,,Central Asia,Turkic,,,Raghavan et al 2013,660k,,
1277,uzbek96,,,Uzbeks,Uzbeks,,,Uzbekistan,,Central Asia,Turkic,,,Raghavan et al 2013,660k,,
1278,uzbek55,,,Uzbeks,Uzbeks,,,Uzbekistan,,Central Asia,Turkic,,,Raghavan et al 2013,660k,,
1279,uzbek88,,,Uzbeks,Uzbeks,,,Uzbekistan,,Central Asia,Turkic,,,Raghavan et al 2013,660k,,
1280,Uzbek8_18Af,,,Uzbeks,Uzbeks_Afghan,,,Afghanisthan,,Central Asia,Turkic,,,DiCristofaro et al 2013 Afghan,660k,,
1281,Uzbek8_20Af,,,Uzbeks,Uzbeks_Afghan,,,Afghanisthan,,Central Asia,Turkic,,,DiCristofaro et al 2013 Afghan,660k,,
1282,Uzbek8_68Af,,,Uzbeks,Uzbeks_Afghan,,,Afghanisthan,,Central Asia,Turkic,,,DiCristofaro et al 2013 Afghan,660k,,
1283,Uzbek8_86Af,,,Uzbeks,Uzbeks_Afghan,,,Afghanisthan,,Central Asia,Turkic,,,DiCristofaro et al 2013 Afghan,660k,,
1284,Uzbek8_10Af,,,Uzbeks,Uzbeks_Afghan,,,Afghanisthan,,Central Asia,Turkic,,,DiCristofaro et al 2013 Afghan,660k,,
1285,KGZ003_kirghizTienShan,,,Kyrgyzians,Kyrgyzians,TienShan,,Kyrgyzstan,,Central Asia,Turkic,,,Yunusbayev et al 2015,1M,,
1286,KGZ067_kirgiz_TienShan,,,Kyrgyzians,Kyrgyzians,TienShan,,Kyrgyzstan,,Central Asia,Turkic,,,Yunusbayev et al 2015,1M,,
1287,KGZ069_kirghiz,,,Kyrgyzians,Kyrgyzians,,,Kyrgyzstan,,Central Asia,Turkic,,,Yunusbayev et al 2015,1M,,
1288,kirghiz1_1m,,,Kyrgyzians,Kyrgyzians,,,Kyrgyzstan,,Central Asia,Turkic,,,Yunusbayev et al 2015,1M,,
1289,kirghiz3_1m,,,Kyrgyzians,Kyrgyzians,,,Kyrgyzstan,,Central Asia,Turkic,,,Yunusbayev et al 2015,1M,,
1290,tdj0011_kirghiz_murgab,,,Kyrgyzians,Kyrgyzians,Pamir,Murghab,Tajikistan,,Central Asia,Turkic,38.188847,74.019656,Yunusbayev et al 2015,1M,,
1291,tdj0635_kirghiz_murgab,,,Kyrgyzians,Kyrgyzians,Pamir,Murghab,Tajikistan,,Central Asia,Turkic,38.188847,74.019656,Yunusbayev et al 2015,1M,,
1292,tdj0802_kirghiz_alitshor,,,Kyrgyzians,Kyrgyzians,Pamir,Alichur,Tajikistan,,Central Asia,Turkic,37.751444,73.262329,Yunusbayev et al 2015,1M,,
1293,TJ855_kirghizPamir,,,Kyrgyzians,Kyrgyzians,Pamir,,Tajikistan,,Central Asia,Turkic,,,Yunusbayev et al 2015,1M,,
1294,kirgiz21,,,Kyrgyzians,Kyrgyzians,,,Kyrgyzstan,,Central Asia,Turkic,,,Raghavan et al 2013,660k,,
1295,kirgiz22,,,Kyrgyzians,Kyrgyzians,,,Kyrgyzstan,,Central Asia,Turkic,,,Raghavan et al 2013,660k,,
1296,kirgiz23,,,Kyrgyzians,Kyrgyzians,,,Kyrgyzstan,,Central Asia,Turkic,,,Raghavan et al 2013,660k,,
1297,kirgiz24,,,Kyrgyzians,Kyrgyzians,,,Kyrgyzstan,,Central Asia,Turkic,,,Raghavan et al 2013,660k,,
1298,kirgiz25,,,Kyrgyzians,Kyrgyzians,,,Kyrgyzstan,,Central Asia,Turkic,,,Raghavan et al 2013,660k,,
1299,kirgiz28,,,Kyrgyzians,Kyrgyzians,,,Kyrgyzstan,,Central Asia,Turkic,,,Raghavan et al 2013,660k,,
1300,kirgiz30,,,Kyrgyzians,Kyrgyzians,,,Kyrgyzstan,,Central Asia,Turkic,,,Raghavan et al 2013,660k,,
1301,kirgiz31,,,Kyrgyzians,Kyrgyzians,,,Kyrgyzstan,,Central Asia,Turkic,,,Raghavan et al 2013,660k,,
1302,kirgiz33,,,Kyrgyzians,Kyrgyzians,,,Kyrgyzstan,,Central Asia,Turkic,,,Raghavan et al 2013,660k,,
1303,kirgiz34,,,Kyrgyzians,Kyrgyzians,,,Kyrgyzstan,,Central Asia,Turkic,,,Raghavan et al 2013,660k,,
1304,kirgiz35,,,Kyrgyzians,Kyrgyzians,,,Kyrgyzstan,,Central Asia,Turkic,,,Raghavan et al 2013,660k,,
1305,kirgiz36,,,Kyrgyzians,Kyrgyzians,,,Kyrgyzstan,,Central Asia,Turkic,,,Raghavan et al 2013,660k,,
1306,kirgiz37,,,Kyrgyzians,Kyrgyzians,,,Kyrgyzstan,,Central Asia,Turkic,,,Raghavan et al 2013,660k,,
1307,KirgizKGN8,,,Kyrgyzians,Kyrgyzians,,,Kyrgyzstan,,Central Asia,Turkic,,,Raghavan et al 2013,660k,,
1308,KirgizKGN82,,,Kyrgyzians,Kyrgyzians,,,Kyrgyzstan,,Central Asia,Turkic,,,Raghavan et al 2013,660k,,
1309,KirgizKGN62,,,Kyrgyzians,Kyrgyzians,,,Kyrgyzstan,,Central Asia,Turkic,,,Raghavan et al 2013,660k,,
1310,KirgizKGN71,,,Kyrgyzians,Kyrgyzians,,,Kyrgyzstan,,Central Asia,Turkic,,,Raghavan et al 2013,660k,,
1311,KirgizKGN84,,,Kyrgyzians,Kyrgyzians,,,Kyrgyzstan,,Central Asia,Turkic,,,Raghavan et al 2013,660k,,
1312,KirgizKGN66,,,Kyrgyzians,Kyrgyzians,,,Kyrgyzstan,,Central Asia,Turkic,,,Raghavan et al 2013,660k,,
1313,LHPG120_kazakhTienShan,,,Kazakhs,Kazakhs,TienShan,,Kyrgyzstan,,Central Asia,Turkic,,,Yunusbayev et al 2015,1M,,
1314,LPGH119kazakh_cw,,,Kazakhs,Kazakhs,Central-West,,Kazakhstan,,Central Asia,Turkic,,,Yunusbayev et al 2015,1M,,
1315,Kazakh32cp,,,Kazakhs,Kazakhs,,,Kazakhstan,,Central Asia,Turkic,,,Raghavan et al 2013,660k,,
1316,Kazakh34cp,,,Kazakhs,Kazakhs,,,Kazakhstan,,Central Asia,Turkic,,,Raghavan et al 2013,660k,,
1317,Kazakh36cp,,,Kazakhs,Kazakhs,,,Kazakhstan,,Central Asia,Turkic,,,Raghavan et al 2013,660k,,
1318,Kazakh44cp,,,Kazakhs,Kazakhs,,,Kazakhstan,,Central Asia,Turkic,,,Raghavan et al 2013,660k,,
1319,Kazakh46cp,,,Kazakhs,Kazakhs,,,Kazakhstan,,Central Asia,Turkic,,,Raghavan et al 2013,660k,,
1320,Kazakh48cp,,,Kazakhs,Kazakhs,,,Kazakhstan,,Central Asia,Turkic,,,Raghavan et al 2013,660k,,
1321,Kazakh52cp,,,Kazakhs,Kazakhs,,,Kazakhstan,,Central Asia,Turkic,,,Raghavan et al 2013,660k,,
1322,Kazakh54cp,,,Kazakhs,Kazakhs,,,Kazakhstan,,Central Asia,Turkic,,,Raghavan et al 2013,660k,,
1323,Kazakh56cp,,,Kazakhs,Kazakhs,,,Kazakhstan,,Central Asia,Turkic,,,Raghavan et al 2013,660k,,
1324,Kazakh58cp,,,Kazakhs,Kazakhs,,,Kazakhstan,,Central Asia,Turkic,,,Raghavan et al 2013,660k,,
1325,Kazakh62cp,,,Kazakhs,Kazakhs,,,Kazakhstan,,Central Asia,Turkic,,,Raghavan et al 2013,660k,,
1326,Kazakh63cp,,,Kazakhs,Kazakhs,,,Kazakhstan,,Central Asia,Turkic,,,Raghavan et al 2013,660k,,
1327,Kazakh65cp,,,Kazakhs,Kazakhs,,,Kazakhstan,,Central Asia,Turkic,,,Raghavan et al 2013,660k,,
1328,Kazakh67cp,,,Kazakhs,Kazakhs,,,Kazakhstan,,Central Asia,Turkic,,,Raghavan et al 2013,660k,,
1329,Kazakh70cp,,,Kazakhs,Kazakhs,,,Kazakhstan,,Central Asia,Turkic,,,Raghavan et al 2013,660k,,
1330,Kazakh73cp,,,Kazakhs,Kazakhs,,,Kazakhstan,,Central Asia,Turkic,,,Raghavan et al 2013,660k,,
1331,kazakh164,,,Kazakhs,Kazakhs,,,Kazakhstan,,Central Asia,Turkic,,,Raghavan et al 2013,660k,,
1332,kazakh178,,,Kazakhs,Kazakhs,,,Kazakhstan,,Central Asia,Turkic,,,Raghavan et al 2013,660k,,
1333,uighur4_1m,,,Uygurs,Uygurs,,,,,Central Asia,Turkic,,,Yunusbayev et al 2015,1M,,
1334,altai1,Järele uurida kas olid ikka Elzalt,,Altaians,Altaians,,,Russia,,Siberia,Turkic,,,Rasmussen et al 2010,610k,,
1335,altai10,,,Altaians,Altaians,,,Russia,,Siberia,Turkic,,,Rasmussen et al 2010,610k,,
1336,altai11,,,Altaians,Altaians,,,Russia,,Siberia,Turkic,,,Rasmussen et al 2010,610k,,
1337,altai13,,,Altaians,Altaians,,,Russia,,Siberia,Turkic,,,Rasmussen et al 2010,610k,,
1338,altai14,,,Altaians,Altaians,,,Russia,,Siberia,Turkic,,,Rasmussen et al 2010,610k,,
1339,altai2,Järele uurida kas olid ikka Elzalt,,Altaians,Altaians,,,Russia,,Siberia,Turkic,,,Rasmussen et al 2010,610k,,
1340,altai3,Järele uurida kas olid ikka Elzalt,,Altaians,Altaians,,,Russia,,Siberia,Turkic,,,Rasmussen et al 2010,610k,,
1341,altai4,Järele uurida kas olid ikka Elzalt,,Altaians,Altaians,,,Russia,,Siberia,Turkic,,,Rasmussen et al 2010,610k,,
1342,altai5,Järele uurida kas olid ikka Elzalt,,Altaians,Altaians,,,Russia,,Siberia,Turkic,,,Rasmussen et al 2010,610k,,
1343,altai6,Järele uurida kas olid ikka Elzalt,,Altaians,Altaians,,,Russia,,Siberia,Turkic,,,Rasmussen et al 2010,610k,,
1344,altai7,Järele uurida kas olid ikka Elzalt,,Altaians,Altaians,,,Russia,,Siberia,Turkic,,,Rasmussen et al 2010,610k,,
1345,altai8,Järele uurida kas olid ikka Elzalt,,Altaians,Altaians,,,Russia,,Siberia,Turkic,,,Rasmussen et al 2010,610k,,
1346,altai9,Järele uurida kas olid ikka Elzalt,,Altaians,Altaians,,,Russia,,Siberia,Turkic,,,Rasmussen et al 2010,610k,,
1347,altai377,,,Altaians,Altaians,Turochak,,Russia,,Siberia,Turkic,,,Raghavan et al 2013,660k,,
1348,altai389,kumandinka,,Altaians,Altaians,Turochak,,Russia,,Siberia,Turkic,,,Raghavan et al 2013,660k,,
1349,altai80,,,Altaians,Altaians,Telengit-Sortogoy,,Russia,,Siberia,Turkic,,,Raghavan et al 2013,660k,,
1350,Alt170,,,Altaian-Kizhi,Altaians,,,Russia,Kaysyn,Siberia,Turkic,,,Cardona 2014,730K,,
1351,Alt173,,,Altaian-Kizhi,Altaians,,,Russia,Kaysyn,Siberia,Turkic,,,Cardona 2014,730K,,
1352,Alt174,,,Altaian-Kizhi,Altaians,,,Russia,Kaysyn,Siberia,Turkic,,,Cardona 2014,730K,,
1353,Alt175,,,Altaian-Kizhi,Altaians,,,Russia,Kaysyn,Siberia,Turkic,,,Cardona 2014,730K,,
1354,Alt179,,,Altaian-Kizhi,Altaians,,,Russia,Kaysyn,Siberia,Turkic,,,Cardona 2014,730K,,
1355,Alt180,,,Altaian-Kizhi,Altaians,,,Russia,Kaysyn,Siberia,Turkic,,,Cardona 2014,730K,,
1356,Alt181,,,Altaian-Kizhi,Altaians,,,Russia,Kaysyn,Siberia,Turkic,,,Cardona 2014,730K,,
1357,Alt187,,,Altaian-Kizhi,Altaians,,,Russia,Kaysyn,Siberia,Turkic,,,Cardona 2014,730K,,
1358,Alt194,,,Altaian-Kizhi,Altaians,,,Russia,Kaysyn,Siberia,Turkic,,,Cardona 2014,730K,,
1359,Alt197,,,Altaian-Kizhi,Altaians,,,Russia,Kaysyn,Siberia,Turkic,,,Cardona 2014,730K,,
1360,Alt202,,,Altaian-Kizhi,Altaians,,,Russia,Kaysyn,Siberia,Turkic,,,Cardona 2014,730K,,
1361,Alt204,,,Altaian-Kizhi,Altaians,,,Russia,Kaysyn,Siberia,Turkic,,,Cardona 2014,730K,,
1362,altai1_1m,,,Altaians,Altaians,,,Russia,,Siberia,Turkic,,,Yunusbayev et al 2015,1M,,
1363,altai3_1m,,,Altaians,Altaians,,,Russia,,Siberia,Turkic,,,Yunusbayev et al 2015,1M,,
1364,TL32,,,Teleut,Teleut,,,Russia,Novokuznetsk,Siberia,Turkic,,,Cardona 2014,730K,,
1365,TL5881,,,Teleut,Teleut,,,Russia,Novokuznetsk,Siberia,Turkic,,,Cardona 2014,730K,,
1366,TL5882,,,Teleut,Teleut,,,Russia,Novokuznetsk,Siberia,Turkic,,,Cardona 2014,730K,,
1367,TL5883,,,Teleut,Teleut,,,Russia,Novokuznetsk,Siberia,Turkic,,,Cardona 2014,730K,,
1368,TL5885,,,Teleut,Teleut,,,Russia,Novokuznetsk,Siberia,Turkic,,,Cardona 2014,730K,,
1369,TL5886,,,Teleut,Teleut,,,Russia,Novokuznetsk,Siberia,Turkic,,,Cardona 2014,730K,,
1370,TL5887,,,Teleut,Teleut,,,Russia,Novokuznetsk,Siberia,Turkic,,,Cardona 2014,730K,,
1371,TL5888,,,Teleut,Teleut,,,Russia,Novokuznetsk,Siberia,Turkic,,,Cardona 2014,730K,,
1372,TL5889,,,Teleut,Teleut,,,Russia,Novokuznetsk,Siberia,Turkic,,,Cardona 2014,730K,,
1373,TL5890,,,Teleut,Teleut,,,Russia,Novokuznetsk,Siberia,Turkic,,,Cardona 2014,730K,,
1374,TL5891,,,Teleut,Teleut,,,Russia,Novokuznetsk,Siberia,Turkic,,,Cardona 2014,730K,,
1375,TL5892,,,Teleut,Teleut,,,Russia,Novokuznetsk,Siberia,Turkic,,,Cardona 2014,730K,,
1376,altai406,Is Russian! Marina Gubina sais -delete!  And it looks russian on Admixture,,Russians,Russians,Turochak,,Russia,,Siberia,,,,Raghavan et al 2013,660k,,
1377,Hakas13,,,Khakases,Khakases,Khakasiya,,Russia,,Siberia,Turkic,,,Fedorova and Reidla et al 2013,660k,,
1378,Hakas15_223,,,Khakases,Khakases,Khakasiya,,Russia,,Siberia,Turkic,,,Fedorova and Reidla et al 2013,660k,,
1379,Hakas16_101,,,Khakases,Khakases,Khakasiya,,Russia,,Siberia,Turkic,,,Fedorova and Reidla et al 2013,660k,,
1380,Hakas17_306,,,Khakases,Khakases,Khakasiya,,Russia,,Siberia,Turkic,,,Fedorova and Reidla et al 2013,660k,,
1381,Hakas2,,,Khakases,Khakases,Khakasiya,,Russia,,Siberia,Turkic,,,Fedorova and Reidla et al 2013,660k,,
1382,Hakas29_394,,,Khakases,Khakases,Khakasiya,,Russia,,Siberia,Turkic,,,Fedorova and Reidla et al 2013,660k,,
1383,Hakas3,,,Khakases,Khakases,Khakasiya,,Russia,,Siberia,Turkic,,,Fedorova and Reidla et al 2013,660k,,
1384,Hakas35_386,,,Khakases,Khakases,Khakasiya,,Russia,,Siberia,Turkic,,,Fedorova and Reidla et al 2013,660k,,
1385,Hakas4,,,Khakases,Khakases,Khakasiya,,Russia,,Siberia,Turkic,,,Fedorova and Reidla et al 2013,660k,,
1386,Hakas5_123,,,Khakases,Khakases,Khakasiya,,Russia,,Siberia,Turkic,,,Fedorova and Reidla et al 2013,660k,,
1387,Hakas57_114,,,Khakases,Khakases,Khakasiya,,Russia,,Siberia,Turkic,,,Fedorova and Reidla et al 2013,660k,,
1388,Hakas58,,,Khakases,Khakases,Khakasiya,,Russia,,Siberia,Turkic,,,Fedorova and Reidla et al 2013,660k,,
1389,Hakas6,,,Khakases,Khakases,Khakasiya,,Russia,,Siberia,Turkic,,,Fedorova and Reidla et al 2013,660k,,
1390,Hakas7,,,Khakases,Khakases,Khakasiya,,Russia,,Siberia,Turkic,,,Fedorova and Reidla et al 2013,660k,,
1391,Hakas72,,,Khakases,Khakases,Khakasiya,,Russia,,Siberia,Turkic,,,Fedorova and Reidla et al 2013,660k,,
1392,Hakas8_238,,,Khakases,Khakases,Khakasiya,,Russia,,Siberia,Turkic,,,Fedorova and Reidla et al 2013,660k,,
1393,Hakas9_162,,,Khakases,Khakases,Khakasiya,,Russia,,Siberia,Turkic,,,Fedorova and Reidla et al 2013,660k,,
1394,Hazara6_6Af,,,Hazara,Hazara_Afghan,,,Afghanisthan,,Central Asia,Indo-European/Indo-Iranian,,,DiCristofaro et al 2013 Afghan,660k,,
1395,Hazara6_27Af,,,Hazara,Hazara_Afghan,,,Afghanisthan,,Central Asia,Indo-European/Indo-Iranian,,,DiCristofaro et al 2013 Afghan,660k,,
1396,Hazara6_68Af,,,Hazara,Hazara_Afghan,,,Afghanisthan,,Central Asia,Indo-European/Indo-Iranian,,,DiCristofaro et al 2013 Afghan,660k,,
1397,Hazara6_66Af,,,Hazara,Hazara_Afghan,,,Afghanisthan,,Central Asia,Indo-European/Indo-Iranian,,,DiCristofaro et al 2013 Afghan,660k,,
1398,Hazara6_2Af,,,Hazara,Hazara_Afghan,,,Afghanisthan,,Central Asia,Indo-European/Indo-Iranian,,,DiCristofaro et al 2013 Afghan,660k,,
1399,Pashtun2_8Af,,,Pashtun,Pashtun_Afghan,,,Afghanisthan,,Central Asia,Indo-European/Indo-Iranian,,,DiCristofaro et al 2013 Afghan,660k,,
1400,Pashtun2_22Af,,,Pashtun,Pashtun_Afghan,,,Afghanisthan,,Central Asia,Indo-European/Indo-Iranian,,,DiCristofaro et al 2013 Afghan,660k,,
1401,Pashtun2_6Af,,,Pashtun,Pashtun_Afghan,,,Afghanisthan,,Central Asia,Indo-European/Indo-Iranian,,,DiCristofaro et al 2013 Afghan,660k,,
1402,Pashtun2_20Af,,,Pashtun,Pashtun_Afghan,,,Afghanisthan,,Central Asia,Indo-European/Indo-Iranian,,,DiCristofaro et al 2013 Afghan,660k,,
1403,Pashtun10_17Af,,,Pashtun,Pashtun_Afghan,,,Afghanisthan,,Central Asia,Indo-European/Indo-Iranian,,,DiCristofaro et al 2013 Afghan,660k,,
1404,Indian_Jew_5,Changed to Mumbai Jews (Bayazit&Doron),,Mumbai_Jews,Jews,,Mumbai,India,,South Asia,,,,Behar et al 2010,610k,,
1405,Indian_Jew_6,Changed to Mumbai Jews (Bayazit&Doron),,Mumbai_Jews,Jews,,Mumbai,India,,South Asia,,,,Behar et al 2010,610k,,
1406,Indian_Jew_7,Changed to Mumbai Jews (Bayazit&Doron),,Mumbai_Jews,Jews,,Mumbai,India,,South Asia,,,,Behar et al 2010,610k,,
1407,Indian_Jew_8,Changed to Mumbai Jews (Bayazit&Doron),,Mumbai_Jews,Jews,,Mumbai,India,,South Asia,,,,Behar et al 2010,610k,,
1408,GRC12118094,,Israel42,Mumbai_Jews,Jews,,Mumbai,India,,South Asia,,,,Behar et al 2013 Khazar,730K,,
1409,GRC12118106,,Israel44,Mumbai_Jews,Jews,,Mumbai,India,,South Asia,,,,Behar et al 2013 Khazar,730K,,
1410,H1,,,Brahmins_UTT,Brahmins,,Uttarakhand,India,,South Asia,Indo-European/Indo-Iranian/Indo-Aryan,,,Metspalu_et_al_2011,650k,,
1411,177e,,,Brahmins_UP,Brahmins,,Uttar Pradesh,India,,South Asia,Indo-European/Indo-Iranian/Indo-Aryan,,,Metspalu_et_al_2011,650k,,
1412,BR008,,,Brahmins_UP,Brahmins,,Uttar Pradesh,India,,South Asia,Indo-European/Indo-Iranian/Indo-Aryan,,,Metspalu_et_al_2011,650k,,
1413,BR052,,,Brahmins_UP,Brahmins,,Uttar Pradesh,India,,South Asia,Indo-European/Indo-Iranian/Indo-Aryan,,,Metspalu_et_al_2011,650k,,
1414,BR084,,,Brahmins_UP,Brahmins,,Uttar Pradesh,India,,South Asia,Indo-European/Indo-Iranian/Indo-Aryan,,,Metspalu_et_al_2011,650k,,
1415,BRG001,,,Brahmins_UP,Brahmins,,Uttar Pradesh,India,,South Asia,Indo-European/Indo-Iranian/Indo-Aryan,,,Metspalu_et_al_2011,650k,,
1416,DEL007,,,Brahmins_UP,Brahmins,,Uttar Pradesh,India,,South Asia,Indo-European/Indo-Iranian/Indo-Aryan,,,Metspalu_et_al_2011,650k,,
1417,evo_9,,,Brahmins_UP,Brahmins,,Uttar Pradesh,India,,South Asia,Indo-European/Indo-Iranian/Indo-Aryan,,,Metspalu_et_al_2011,650k,,
1418,D238,identical to DEL008,,Brahmins_UP,Brahmins,,Uttar Pradesh,India,,South Asia,Indo-European/Indo-Iranian/Indo-Aryan,,,Metspalu_et_al_2011,650k,,
1419,SB001,,,Brahmins_TN,Brahmins,,Tamil Nadu,India,,South Asia,INDO-EUROPEAN,,,Metspalu_et_al_2011,610k,,
